serial_no,location
6fda16c404116b1bf9b0324e2b541556,Centro
718d82614403e019ad790e61d6c5a74a,Retiro
719751ea882d9283fd5bac4779eecee4,Vicálvaro
71c54b51b86cb4c103613f0c7f592a1d,Carabanchel
71f1a69aa31637e483a958ccfe2ae304,Fuencarral-El Pardo
7212cb10b3e958e83451d6c4d1d3289f,Chamartín
72352ff36c85362cc804abdf667fc9dd,Arganzuela
726872da2eaa2f2cdc112cf7b443c910,Retiro
73fce852ecc98764ebc35c612a8a2890,Centro
7453c964e9fac53ab08e516b3703c7c8,Villa de Vallecas
7618b4cac54c3d4b0e6acbbe97a19e2b,Usera
7d1c635ce1b71d8183667a96fe27e126,Centro
7d491dcb1bf666070a57a77578165878,Chamartín
7eafa2406148b304443ef475a217e4c5,Centro
7fa01a05722fcbf5a35573f51599f110,Latina
802dac37d72f7068a086d1c83e03d159,Villa de Vallecas
80a8f046cf1a64f7a97480ef89333cf2,Ciudad Lineal
80baf76b1964d996b6b1f19d614ad996,Puente de Vallecas
8122dbc7c76e439e3cd80503ee6d4c23,Centro
819256bd4118b257fa2aa6adfc24845f,Moncloa-Aravaca
837fca0504028b4a0894431304647f04,Moncloa-Aravaca
84d9c5b501aa84d70417c18f0cf0445c,Vicálvaro
8566f752669262f44d74141443d14861,Retiro
8a7d86f6ff8d48fe024a3fdd1089ce17,Chamartín
8af0e506534c6f705761390a3d9fad27,Villaverde
8d73b256d7408d8785790a5fccb413da,Centro
8df62c7e07ca954b8b263a9929f71fe1,Usera
8ec3bca0d82ea28b290432d9c5c5bf48,Retiro
9070c29007082633e28236d85c12a8c1,Hortaleza
9124fb308cacd42ddd8e1c965050489e,Moncloa-Aravaca
920a904e113ee9c80b4ed025111c11eb,Usera
9251c2b6642105ce4b2d26d7f79bff19,Retiro
9331fb337b96f88e7dad8c6ac189d292,Villa de Vallecas
93eda73088f2adf93b847eaff8eec93d,Villaverde
94cace73cd535d520bbb15fca99875e1,Usera
95f568dab3610900bc4befe9635922d9,Arganzuela
96f75fb68c8c26f4460d3cb304b01755,Arganzuela
97603ad874fafba9ade893331e6e708c,Latina
97a834102f3aa852d06b4cd28b7b2f55,Chamartín
98615fc51c32a7fdd472ba81497de4b2,Moncloa-Aravaca
999c78b96b32a1b7c7a7a2d386f4ca1d,Arganzuela
9c3bcfddbbbc58ee226cea47b45301a9,Chamberí
9d3c2bc3d2c0cb1067b49be86c49213a,Tetuán
9d9fc014f7d189697d9fd4efe468fb72,Salamanca
9ec656a0835991ba4b4ec7ccc8373ea9,Carabanchel
9f2a2da911f8a05c4bd3821e92c68457,Villa de Vallecas
9f997397b9359bbddddcfdf1d8b0a814,Puente de Vallecas
a2f43429e775a239662eca2c7580c752,Tetuán
a302cfb7a2fd83115aa3820ad81673b0,Villaverde
a4ec26782fcb074af805479a86d09e7f,Puente de Vallecas
a5523c3f3251511788382bb747131bc6,Chamartín
a577ce488b725000cf3ae4bd3eb310bf,Carabanchel
a60c7e4765f8bb7893c394a8bf020add,Chamberí
a6b86f06b609c2a966bfdb77b88dce81,Salamanca
a6d9b8fa2d90c9b02874789a0b3befb9,Retiro
a9844ce91b6c82479b5b177f1892aaf9,Retiro
ac782bb32053735a289f30e4b92cbd0a,Salamanca
ac881ce91834fabcfdd38262594b12d8,Moncloa-Aravaca
addf68b65893640469780dc76cf01cc2,Tetuán
af53927ff78db24265c8bf887b991ac1,Usera
b03cf1b7cdb3a8c8d2804e6fe4f6717b,Latina
b1cbac1ba77cfd3c54687916964c5852,Fuencarral-El Pardo
b279b6aea5b2513f3de86386100d230b,Villa de Vallecas
b4afb66dc175199c743db071e541ab66,Retiro
b4fcebae99bdd7eaa7dc6d413835cea3,Usera
b57fa8af60af1e3cd8409d504b6cd038,Fuencarral-El Pardo
b770e049005eb6c48bd8936f0e52775a,Villa de Vallecas
b776ae6ae76f1077e402a73400e44c5e,Salamanca
b79abd7b5c9827ec9134306689c510b8,Salamanca
b9c6c20c333af2678d879aeea200f072,Arganzuela
